osmID,NeighbNum,NeighbNam,Year,Month,LIRAa,Total,InfestedNum,Temperature,Precipitation,NDVI,Urbanisation,Expected
4601806,1,Jardim Paulistano,2017,July,3,2337,241,23.912,185.623,2.674,0.961,98
4601798,2,Estação Velha,2017,July,3,974,87,23.912,185.623,3.797,0.963,41
4601815,3,Liberdade,2017,July,3,5031,473,23.912,185.623,2.088,0.984,211
4601837,4,Presidente Médici,2017,July,3,1250,94,24.028,174.165,2.657,0.993,52
4601841,5,Sandra Cavalcante,2017,July,3,1871,174,24.136,187.464,3.522,0.924,78
4601822,6,Monte Santo,2017,July,3,2297,122,23.912,185.623,4.083,0.802,96
4601843,7,Santa Rosa,2017,July,3,3067,212,23.912,185.623,1.687,0.904,128
4601794,8,Cruzeiro,2017,July,3,3885,400,23.912,185.623,2.397,0.921,163
4601802,9,Itararé,2017,July,3,911,85,24.028,174.165,2.184,0.884,38
4601803,10,Jardim Continental,2017,July,3,615,33,23.338,198.395,4.766,0.326,26
4601816,11,Louzeiro,2017,July,3,380,30,23.338,198.395,1.782,0.191,16
4601852,12,São José,2017,July,3,1291,121,23.912,185.623,2.976,0.989,54
4601834,13,Pedregal,2017,July,3,2335,75,23.912,185.623,3.281,0.956,98
4601792,14,Conceição,2017,July,3,1092,58,23.912,185.623,1.362,0.983,46
4601839,15,Ramadinha,2017,July,3,600,41,23.828,169.415,3.301,0.898,25
4601810,16,Jeremias,2017,July,3,3495,276,23.338,198.395,3.003,0.66,146
4601833,17,Palmeira,2017,July,3,1681,133,23.912,185.623,1.65,0.865,70
4601858,18,Vila Cabral,2017,July,3,1347,125,24.136,187.464,5.533,0.573,56
4601842,19,Santa Cruz,2017,July,3,2933,220,23.912,185.623,2.219,1,123
4601796,20,Dinamérica,2017,July,3,2153,149,23.912,185.623,1.874,0.738,90
4601819,21,Mirante,2017,July,3,484,44,24.136,187.464,1.488,0.925,20
4601811,22,José Pinheiro,2017,July,3,4629,417,24.136,187.464,1.321,0.999,194
4601783,23,Castelo Branco,2017,July,3,778,49,24.136,187.464,3.279,0.561,33
4601846,24,Santo Antônio,2017,July,3,1159,104,24.136,187.464,1.368,1,49
4601821,25,Monte Castelo,2017,July,3,2476,223,24.136,187.464,1.215,0.654,104
4601830,26,Novo Bodocongó,2017,July,3,392,36,23.222,182.256,6.022,0.098,16
4601787,27,Centro,2017,July,3,2825,51,23.912,185.623,1.84,0.962,118
4601795,28,Cuités,2017,July,3,531,28,23.338,198.395,4.802,0.119,22
4601786,29,Centenário,2017,July,3,2409,77,23.912,185.623,2.704,0.998,101
4601775,30,Bela Vista,2017,July,3,1850,59,23.912,185.623,3.504,0.936,77
4601836,31,Prata,2017,July,3,1146,21,23.912,185.623,3.097,1,48
4601784,32,Catolé,2017,July,3,6446,574,23.912,185.623,3.209,0.988,270
4601854,33,Tambor,2017,July,3,1818,169,23.912,185.623,2.708,0.954,76
4601857,34,Velame,2017,July,3,2374,166,24.028,174.165,3.474,0.408,99
4601817,35,Malvinas,2017,July,3,10539,1338,23.828,169.415,2.243,0.453,441
4601856,36,Universitário,2017,July,3,1007,32,23.912,185.623,5.043,0.562,42
4601827,37,Nova Brasília,2017,July,3,2506,158,24.136,187.464,3.763,0.856,105
4601809,38,Jardim Tavares,2017,July,3,986,62,23.663,203.337,3.897,0.538,41
4601826,39,Nações,2017,July,3,376,24,23.338,198.395,7.442,0.417,16
4601813,40,Lauritzen,2017,July,3,827,52,23.912,185.623,0.998,1,35
4601771,41,Alto Branco,2017,July,3,2473,156,23.338,198.395,2.6,0.854,104
4601848,42,Serrotão,2017,July,3,1684,157,23.828,169.415,4.283,0.164,71
4601781,43,Bodocongó,2017,July,3,3938,366,23.828,169.415,3.091,0.823,165
4601855,44,Três Irmãs,2017,July,3,3535,163,24.103,159.54,3.307,0.224,148
4601770,45,Acácio Figueiredo,2017,July,3,2657,186,24.103,159.54,2.451,0.481,111
4601791,46,Cidades,2017,July,3,1662,116,24.103,159.54,4.613,0.241,70
4601807,47,Quarenta,2017,July,3,2273,170,23.912,185.623,2.152,0.987,95